id,gesture,manipulation,direction,magnitude,trial,time,x,y,z
1,SHIFT_ABD,0,0,2,0,3080,0.027253522187388163,-0.023767646612843932,-0.055764502063392285
1,SHIFT_ABD,0,0,2,1,3720,-0.03755916175023116,0.030514140211142737,-0.08983742237787284
1,SHIFT_ABD,0,0,2,2,2060,0.08198334293163873,-0.022397760354877838,-0.114909854688661
1,SHIFT_ABD,0,0,2,3,2780,0.05399296626040031,-0.018366211644453678,-0.033795151214655206
1,SHIFT_ABD,0,0,2,4,1700,0.12629025191560225,0.0010549325413418825,-0.08094058144155097
1,SHIFT_ABD,0,0,2,5,3160,0.08152888271665663,-0.01404100752451004,-0.06875266090978682
1,SHIFT_ABD,0,0,2,6,3060,0.00805621032934202,-0.016885247220560604,-0.07132870275341047
1,SHIFT_ABD,0,0,2,7,2760,0.08345515644963605,-0.054756214071084525,-0.04087763551767243
1,SHIFT_ABD,0,0,2,8,2080,0.042020060831974015,-0.03516419852807828,-0.162457265145317
1,SHIFT_ABD,0,0,2,9,2540,0.018357769995010237,-0.0014617599793997071,-0.0711344228954568
1,SHIFT_ABD,0,0,2,10,2700,0.04226298387152627,-0.022467645829202673,-0.06013824683289848
1,SHIFT_ABD,0,0,2,11,2880,0.08108973225462367,-0.06678816274198285,-0.08720086063237065
1,SHIFT_ABD,0,0,2,12,3140,-0.009761800722878577,-0.0949938152567629,-0.01362536623603744
1,SHIFT_ADD,0,1,2,0,2760,0.07583748431793708,-0.03248955271458262,-0.021171139663542782
1,SHIFT_ADD,0,1,2,1,2040,-0.02255825254593527,-0.02612246988410391,-0.008840047059446188
1,SHIFT_ADD,0,1,2,2,1800,-0.030787906043058734,0.12693682114470847,-0.05244521050141909
1,SHIFT_ADD,0,1,2,3,2220,-0.10661382635341211,-0.05765268224525452,-0.027046818229414293
1,SHIFT_ADD,0,1,2,4,2300,-0.06447361498719653,0.04128576664930855,0.05567992362850527
1,SHIFT_ADD,0,1,2,5,2580,-0.06399142693886742,0.01333105098137169,-0.05415936986068026
1,SHIFT_ADD,0,1,2,6,1540,-0.01945932643974306,0.014037282192493256,0.020423692594950305
1,SHIFT_ADD,0,1,2,7,1900,0.07679894862247791,-0.015592151098070245,-0.0705998968150221
1,SHIFT_ADD,0,1,2,8,2040,-0.0442379390466415,-0.027329382043674577,-0.10295825513578694
1,SHIFT_ADD,0,1,2,9,2380,-0.05915923180559256,-0.03763921122601724,0.004283676688579596
1,SHIFT_ADD,0,1,2,10,1800,-0.07551744738675113,-0.012558294812405252,-0.09474680167261373
1,SHIFT_ADD,0,1,2,11,1640,0.043660916788102175,-0.13767399125147728,-0.011966716408550848
1,SHIFT_ADD,0,1,2,12,1440,-0.05819917820135122,0.00766658684927643,-0.020397973526655178
1,SPIN_ABD_HALF,1,0,0,0,4420,0.32617108740371137,0.04453067874525643,-1.3754294371045463
1,SPIN_ABD_HALF,1,0,0,1,3100,-0.43502402681125396,0.15524824271730628,-1.5039083757480785
1,SPIN_ABD_HALF,1,0,0,2,2200,-0.48433886565846596,-0.09813600435733444,-1.3724394406330411
1,SPIN_ABD_HALF,1,0,0,3,2000,-0.4733652167246608,-0.3498989218744212,-1.3903487656307572
1,SPIN_ABD_HALF,1,0,0,4,2860,-0.5038324573851665,0.2806260693223866,-1.2629408097301782
1,SPIN_ABD_HALF,1,0,0,5,2500,-0.37585833700871196,-0.13913627130505124,-1.301148846083232
1,SPIN_ABD_HALF,1,0,0,6,3420,-0.3981584415934518,-0.045955238444387134,-1.3560152571581892
1,SPIN_ABD_HALF,1,0,0,7,3000,-0.2490601484511774,-0.11319436571927474,-1.2806793639906635
1,SPIN_ABD_HALF,1,0,0,8,3300,-0.504718633550997,-0.07384711519406689,-1.317512351678367
1,SPIN_ABD_HALF,1,0,0,9,3580,-0.25230233539844255,-0.24331909362147358,-1.2640969752762874
1,SPIN_ABD_HALF,1,0,0,10,4040,-0.934019264220591,0.06143220034825715,-1.417022348068889
1,SPIN_ABD_HALF,1,0,0,11,3560,-0.48778736583885773,-0.02795922665430914,-1.1604927047369447
1,SPIN_ABD_HALF,1,0,0,12,3180,-0.663195981331062,0.06306242383382747,-1.1042838899135337
1,SPIN_ABD_FULL,1,0,1,0,4600,0.2231557977570673,-0.6300309146100789,-2.816544281015551
1,SPIN_ABD_FULL,1,0,1,1,4560,0.03976820107556879,0.09394904962939732,-2.491485591748199
1,SPIN_ABD_FULL,1,0,1,2,4360,-0.024481874266970752,-0.08578592675968759,-2.7147774681415395
1,SPIN_ABD_FULL,1,0,1,3,4280,0.26589668354251406,-0.47197298420829226,-2.5674152348680614
1,SPIN_ABD_FULL,1,0,1,4,4520,0.05141557147014478,-0.08317679483582081,-2.7415797604291177
1,SPIN_ABD_FULL,1,0,1,5,5420,-0.1445896557302986,-0.19241682160714269,-2.7889905639143464
1,SPIN_ABD_FULL,1,0,1,6,4620,0.2132803851753157,-0.5969765751492014,-2.5679684807091694
1,SPIN_ABD_FULL,1,0,1,7,4160,-0.12810531091563454,-0.3060636118705579,-2.595590469509453
1,SPIN_ABD_FULL,1,0,1,8,4580,0.049373994797931475,-0.7086067963480178,-2.433364410179999
1,SPIN_ABD_FULL,1,0,1,9,3080,0.08047920680832989,-0.023870247920974808,-2.3372418399440464
1,SPIN_ABD_FULL,1,0,1,10,5220,-0.4690056954209437,-0.6034348476852376,-2.484341243965423
1,SPIN_ABD_FULL,1,0,1,11,3220,0.07894520643207122,-0.28592859412516686,-2.2941999273922544
